id,longitude,latitude,walk_subway(m),walk_bus(m),car_airport(m)
993575,-73.9746,40.78687,335,151.0,14530.0
993576,-73.97321,40.78741,316,199.0,14283.0
1009883,-73.99204,40.68272,483,191.0,17534.0
1010785,-73.9264,40.76472,476,1129.0,5332.0
818518,-73.95404833355482,40.82031481940737,230,72.0,12373.0
819206,-73.95092,40.79016,433,199.0,12208.0
819228,-73.95412,40.82097,185,81.0,12353.0
819893,-73.95532699832403,40.82260993096161,162,74.0,13561.0
819956,-73.93254,40.68593,782,276.0,20722.0
936218,-73.9538,40.81213,205,87.0,11175.0
939657,-73.94505,40.81061,439,145.0,11305.0
940116,-74.0079345703125,40.64849853515625,228,109.0,33955.0
945297,-73.98147,40.73024,255,253.0,15798.0
1138727,-73.98343,40.76522,297,149.0,14444.0
1141120,-73.9211,40.68718,333,218.0,19725.0
1018529,-73.94831,40.719,690,213.0,10465.0
1023529,-73.95481,40.82144,139,70.0,12452.0
1024647,-73.88626049999999,40.8769982,382,106.0,20330.0
1025786,-73.948,40.7456,232,112.0,10756.0
1026683,-73.92702,40.82102,346,258.0,11221.0
1027808,-73.98174,40.72154,820,138.0,14890.0
825129,-73.96385,40.79525,311,214.0,12965.0
826685,-73.94073,40.68471,593,62.0,21700.0
1380326,-73.95524,40.76768,306,69.0,13479.0
1144861,-73.99155,40.68812,317,156.0,16517.0
1146653,-73.96499,40.79296,193,114.0,13600.0
1150382,-73.9378,40.79946,477,100.0,9717.0
1150869,-73.96711,40.80576,305,87.0,13336.0
1151343,-73.95622,40.80315,255,10.0,11802.0
1155885,-73.92852,40.6849,862,183.0,20315.0
1157522,-73.95886,40.71802,251,149.0,11630.0
1030254,-73.91197,40.695,697,224.0,18244.0
1035120,-73.891,40.76359,2231,319.0,2321.0
1036498,-73.91768,40.75608,336,1760.0,6307.0
1038802,-73.93964,40.72424,1314,145.0,9535.0
1040156,-73.99671936035156,40.74460983276367,107,149.0,14951.0
1042806,-73.81783313404458,40.75533122045313,1398,293.0,7431.0
1392079,-73.94588,40.67081,432,124.0,22312.0
1392144,-73.94797,40.67135,391,48.0,22290.0
1396458,-73.96323,40.67697,738,4.0,15642.0
1398234,-73.99287,40.7225,260,94.0,15131.0
1401826,-73.92466,40.74193,342,243.0,9353.0
1044731,-73.95562,40.64944,638,64.0,24603.0
1045897,-73.95541,40.71819,199,33.0,11907.0
1049224,-73.94426,40.81367,410,66.0,10953.0
1056445,-73.97026,40.7673,455,122.0,13925.0
1060019,-73.9574,40.77451,312,30.0,13501.0
1063020,-73.94374,40.79346,236,75.0,10644.0
1166947,-73.93292,40.85401,460,82.0,15166.0
1167658,-73.95413,40.73339,252,121.0,10715.0
1187643,-73.92983,40.80858,501,105.0,9835.0
1195260,-73.93557,40.64943,1590,248.0,23066.0
1407633,-73.95329,40.80862,334,120.0,11367.0
1072481,-73.99573,40.74424,25,57.0,14858.0
1076324,-73.91594,40.74405,333,273.0,6860.0
1080543,-74.01142,40.65482,912,127.0,33705.0
1087215,-73.99952,40.74726,265,132.0,15137.0
1411811,-74.00346,40.731,343,156.0,16693.0
1440363,-73.94829,40.8169,134,41.0,11281.0
