id,walk_subway(m),walk_bus(m),car_airport(m)
1755844,656,170.0,21070.0
1621235,392,21.0,14047.0
1623431,622,98.0,13267.0
1628156,751,68.0,15985.0
1634856,244,142.0,11623.0
1640995,330,62.0,14420.0
1645181,405,183.0,21201.0
1766846,414,156.0,14694.0
1776732,488,170.0,13726.0
1780748,735,127.0,13112.0
1354973,334,44.0,19512.0
1355654,510,179.0,15812.0
1357021,252,51.0,13512.0
1359130,135,183.0,16786.0
1361017,680,135.0,17540.0
1918693,459,183.0,14893.0
1645667,714,161.0,15231.0
1649957,431,186.0,11240.0
1652236,530,160.0,15047.0
1654929,636,71.0,25632.0
1655550,551,121.0,14873.0
1656585,540,80.0,16126.0
1656621,932,168.0,13011.0
1793091,160,157.0,15174.0
1793104,388,299.0,12209.0
1797025,309,78.0,22611.0
1798500,1783,293.0,17283.0
1668328,364,182.0,12332.0
1921859,388,560.0,4801.0
1925224,371,380.0,11324.0
1932110,214,152.0,14998.0
1934804,578,59.0,13883.0
1669149,333,60.0,15077.0
1670517,405,30.0,14309.0
1672977,551,121.0,14873.0
1673040,551,121.0,14873.0
1688914,157,88.0,11361.0
1809547,389,161.0,10582.0
1826701,271,68.0,12688.0
1831227,555,140.0,11134.0
2051352,275,190.0,28765.0
1935302,688,150.0,14318.0
1936633,4478,264.0,20364.0
1941435,585,240.0,19923.0
1941439,410,43.0,10953.0
1944155,219,128.0,15509.0
1945115,287,11.0,11835.0
2053940,1217,89.0,13886.0
1835367,430,134.0,14712.0
1846580,393,296.0,17752.0
1855846,282,79.0,13199.0
1856027,617,83.0,15428.0
1948494,407,143.0,25200.0
1952271,221,78.0,13641.0
1958765,192,59.0,10514.0
2065538,443,137.0,15540.0
2069359,380,200.0,20341.0
1870228,142,1439.0,7372.0
1876811,464,231.0,14415.0
1881846,459,65.0,13303.0
1885714,606,313.0,11147.0
1961760,477,122.0,17299.0
1971540,547,120.0,14742.0
1974700,154,81.0,11141.0
1976123,507,54.0,15843.0
1979076,1061,140.0,9758.0
2080861,1107,161.0,13288.0
2083749,302,142.0,13617.0
1979127,591,154.0,15438.0
1981590,152,28.0,11358.0
1984378,548,107.0,11264.0
1984486,465,178.0,22048.0
1893225,430,209.0,15811.0
1897447,717,281.0,16944.0
1901154,438,183.0,13528.0
1903198,955,135.0,7697.0
1911641,188,157.0,13388.0
2165933,26,145.0,14642.0
2171821,93,47.0,11064.0
2089226,383,146.0,18888.0
2092827,387,165.0,11617.0
2093064,429,133.0,14712.0
1988823,473,85.0,11158.0
2000576,449,47.0,22050.0
2015168,599,166.0,14413.0
2015800,227,83.0,20567.0
2017397,534,189.0,23060.0
2093304,878,80.0,14224.0
2183423,142,78.0,11079.0
2194038,291,93.0,15328.0
2098030,392,100.0,21232.0
2100887,177,37.0,15305.0
2019927,467,136.0,16324.0
2028291,237,1527.0,5798.0
2108178,1014,127.0,9992.0
2111422,379,51.0,16176.0
2112142,713,187.0,15732.0
2214710,1065,156.0,9769.0
2115773,881,278.0,18145.0
2028677,49,75.0,10852.0
2032156,921,256.0,24992.0
2041041,184,95.0,13388.0
2119582,574,162.0,16937.0
2127713,305,80.0,10916.0
2134697,551,121.0,14873.0
2044889,456,97.0,11572.0
2334411,318,92.0,10555.0
2338082,472,134.0,12869.0
2339096,227,61.0,15143.0
2137796,821,256.0,20901.0
2254817,343,83.0,13792.0
2255549,223,92.0,15714.0
2145599,607,188.0,15864.0
2151479,869,156.0,14265.0
2349737,292,142.0,7773.0
